Age	Sex	Overall_Survival	Residuals
ENSG00000006047	0.389598170770097	0.319259778678115	0.0481546711248646	0.242987379426923
ENSG00000006062	0.136892647711814	0.132230629587314	0.181271717893317	0.549605004807554
ENSG00000006071	0.0611351303545125	0.107586466849914	0.0436012021625949	0.787677200632978
ENSG00000006116	0.187164555171763	0.0421444639087544	0.113202625833852	0.657488355085631
ENSG00000006118	0.10334291327841	0.333083221611031	0.0588160233198616	0.504757841790698
ENSG00000006125	0.242109218441368	0.0531871143667513	0.0148625768436349	0.689841090348246
ENSG00000006128	0.256619793815331	0.0278682858162112	0.389827929261118	0.32568399110734
ENSG00000006194	0.0202579507169625	0.0808156041124931	0.163320233698623	0.735606211471922
ENSG00000006210	0.23260967373635	0.0208935371327922	0.00396067617445893	0.742536112956399
ENSG00000006282	0.313764702844172	0.127203106835491	0.0427893318954421	0.516242858424895
ENSG00000006283	0.177530143839601	0.0279776518771719	0.0952355852757722	0.699256619007455
ENSG00000006327	0.0925991082397963	0.0117769079413013	0.0697359005912438	0.825888083227658
ENSG00000006377	0.140081022194891	0.361551932146672	0.146329056471793	0.352037989186644
ENSG00000006432	0.071112899634534	0.0000647499648401547	0.0625177845017773	0.866304565898849
ENSG00000006451	0.195873854194628	0.00983625235214192	0.303453316998568	0.490836576454661
ENSG00000006453	0.119463398957116	0.00181432592658276	0.0132530105705942	0.865469264545707
ENSG00000006459	0.315187678402014	0.141735146238483	0.0251102508489308	0.517966924510572
ENSG00000006468	0.153571300005037	0.00264934615936356	0.0390315999735282	0.804747753862071
ENSG00000006530	0.187076565925847	0.000352529425521915	0.000408407866001498	0.812162496782629
ENSG00000006534	0.225231695927133	0.0930940385800401	0.0129184182299416	0.668755847262885
ENSG00000006555	0.428703606630934	0.212699316156369	0.121210571805964	0.237386505406733
ENSG00000006576	0.868816593172173	0.00842023495685152	0.0259249570388944	0.0968382148320808
ENSG00000006606	0.147103033122396	0.0173048139965278	0.00623153138555858	0.829360621495517
ENSG00000006607	0.0817974750303805	0.00718993386538739	0.109722893336655	0.801289697767577
ENSG00000006611	0.378307674529126	0.0149620041113958	0.0426985997318609	0.564031721627618
ENSG00000006625	0.0257438294853958	0.15821055503247	0.139480513970115	0.676565101512018
ENSG00000006634	0.0989992760000552	0.100494482493366	0.0784330996666714	0.722073141839908
ENSG00000006638	0.273956662180274	0.158324864404144	0.00668088711414759	0.561037586301435
ENSG00000006652	0.323291049152364	0.0178976937038171	0.0730274796679759	0.585783777475843
ENSG00000006695	0.253493942578901	0.277093824600443	0.320682100577037	0.14873013224362
ENSG00000006704	0.201736213951733	0.122549821900506	0.196694687465417	0.479019276682344
ENSG00000006712	0.302202018919708	0.141335562245797	0.000317778237630963	0.556144640596864
ENSG00000006715	0.184602348021613	0.167474489507616	0.00164151371992254	0.646281648750849
ENSG00000006740	0.206174623215009	0.115930721683154	0.0620061190040687	0.615888536097768
ENSG00000006744	0.196534309571607	0.117026547708475	0.268400619889931	0.418038522829987
ENSG00000006747	0.0954241720166509	0.100555420920671	0.152165141352625	0.651855265710054
ENSG00000006756	0.185228751091601	0.00000862595025230483	0.0380246381156921	0.776737984842455
ENSG00000006757	0.269287766550517	0.000228103993832357	0.219601617984101	0.510882511471549
ENSG00000006831	0.226969650743562	0.26288051543291	0.000366764934929928	0.509783068888597
ENSG00000006837	0.173688470112298	0.000640848955733944	0.074300515382494	0.751370165549474
ENSG00000007001	0.733705640298949	0.000898704087503559	0.0825734800199184	0.182822175593629
ENSG00000007047	0.289538970390782	0.175768346293687	0.00010970651909682	0.534582976796435
