Age	Overall_Survival	Sex	Residuals
ENSG00000007202	0.102341860345586	0.403989639758179	0.166946609734241	0.326721890161994
ENSG00000007237	0.0816734934073667	0.236796310019667	0.00141557305191744	0.680114623521049
ENSG00000007255	0.668733285840244	0.0585593108311136	0.048801618428532	0.223905784900111
ENSG00000007264	0.419972022471632	0.321024596099559	0.0423224498129596	0.216680931615849
ENSG00000007312	0.52612160120684	0.135237614445848	0.0461541011847767	0.292486683162535
ENSG00000007314	0.792506964257634	0.0604794684101954	0.0346923069314465	0.112321260400724
ENSG00000007341	0.21175945068512	0.0157643838170908	0.00525079595894366	0.767225369538846
ENSG00000007350	0.965663331986492	0.0115991441302124	0.0016756267815071	0.0210618971017889
ENSG00000007372	0.323580494265829	0.602893877940542	0.0157143279496211	0.057811299844008
ENSG00000007376	0.022299114883725	0.00774676983595172	0.0883201928583453	0.881633922421978
ENSG00000007384	0.0495224396608645	0.668870276928147	0.118829101424978	0.162778181986011
ENSG00000007392	0.160087183706767	0.48910710966432	0.0815968696378828	0.26920883699103
ENSG00000007402	0.289329097661469	0.340779028360153	0.121116649623648	0.248775224354729
ENSG00000007516	0.188899598712792	0.179687018109113	0.00489485025170541	0.626518532926389
ENSG00000007520	0.0816118121136308	0.218494986894643	0.196028169197253	0.503865031794473
ENSG00000007541	0.177536614125443	0.00605481348114091	0.299479890817282	0.516928681576135
ENSG00000007545	0.0985210946777106	0.399656010572081	0.176865159036097	0.324957735714112
ENSG00000007866	0.215056211230471	0.485877283631687	0.0442879073837131	0.254778597754129
ENSG00000007908	0.409927273781581	0.110397833890565	0.00506815454320999	0.474606737784645
ENSG00000007923	0.277355478711596	0.0187609297832485	0.0557550986027872	0.648128492902368
ENSG00000007933	0.0731700820385845	0.110813912421815	0.44613904039647	0.36987696514313
ENSG00000007944	0.406029051248404	0.0679049831393616	0.00455809007674164	0.521507875535492
ENSG00000007968	0.106119262438737	0.400653560728516	0.0355361919404253	0.457690984892321
ENSG00000008018	0.223683579352087	0.0222994989802041	0.134711529929728	0.619305391737981
ENSG00000008056	0.249797612693109	0.217591733119457	0.00105272453375611	0.531557929653678
ENSG00000008083	0.117000988766071	0.320972458385354	0.106662101715407	0.455364451133169
ENSG00000008086	0.318717475560206	0.102477961665466	0.123126757914484	0.455677804859844
ENSG00000008118	0.536817632094269	0.0625414345407733	0.140740885287447	0.259900048077511
ENSG00000008128	0.318219717551037	0.249235652178108	0.153857618141589	0.278687012129266
ENSG00000008130	0.352212543760309	0.316894812161377	0.007537214781166	0.323355429297148
ENSG00000008196	0.213503894441824	0.280209923912849	0.195405803937024	0.310880377708303
ENSG00000008226	0.278593127872935	0.0092643739449504	0.353929609683713	0.358212888498402
ENSG00000008256	0.300831505441818	0.051690046120525	0.00784734883746558	0.639631099600192
ENSG00000008277	0.244984741496835	0.000234724353848503	0.0661405538664121	0.688639980282904
ENSG00000008282	0.147303422637515	0.00305032506486441	0.158532001967112	0.691114250330509
ENSG00000008283	0.53888670251674	0.0578476573049296	0.0495620769575507	0.35370356322078
ENSG00000008294	0.235258663269485	0.00267449954781289	0.0196167774696511	0.742450059713052
ENSG00000008300	0.216008846187416	0.219281898967234	0.0560076523004971	0.508701602544853
ENSG00000008311	0.278802287086886	0.0509920893197565	0.00526124734485289	0.664944376248504
ENSG00000008323	0.686369626151157	0.00106595193789979	0.21535971446961	0.097204707441333
ENSG00000008324	0.477135133595045	0.147837636957609	0.0229487217427039	0.352078507704642
ENSG00000008382	0.593703127526986	0.171517396100441	0.0299470083798726	0.2048324679927
ENSG00000008394	0.284998507354566	0.00631707711405811	0.0860158919272846	0.622668523604091
ENSG00000008405	0.121042960872364	0.0766652065944203	0.00294641227754742	0.799345420255668
ENSG00000008441	0.500728912007636	0.0229835993884354	0.0405374891189574	0.435749999484972
