baseMean log2FoldChange lfcSE stat pvalue padj
ENSG00000187474.5 32.764493469017 2.36864267431962 0.684472823311609 3.46053574904506 0.000539101648069042 0.296015375441109
ENSG00000198692.10 7.54703814893821 4.90310003505859 1.420912666429 3.45066952452534 0.000559197848627111 0.296015375441109
ENSG00000141449.16 17.7665770525305 3.07724183740273 0.900956683677456 3.41552695390668 0.000636587288897178 0.314516559867799
ENSG00000157330.10 8.9898528502486 4.94405997252918 1.44543578793222 3.42046323593659 0.000625145847661567 0.314516559867799
ENSG00000197121.15 41.5197939267157 -1.4774115556775 0.432517644340903 -3.4158411223405 0.000635853336258491 0.314516559867799
ENSG00000068654.17 167.11166547584 -1.77900372539821 0.52316230430324 -3.40048147728748 0.000672672931006098 0.316649264423212
ENSG00000270641.2 39.2093853236276 -1.36541937534593 0.401606189783674 -3.39989624184182 0.000674114282045016 0.316649264423212
ENSG00000276070.5 19.0251309524198 3.71906164654671 1.0951103301236 3.39606114949802 0.000683630850191796 0.316649264423212
ENSG00000150873.12 23.4705150706577 1.68715418399243 0.497934551794584 3.38830510538349 0.00070325987840513 0.319093405644515
ENSG00000108691.10 44.1308426159601 2.32856582518535 0.688396468275759 3.38259409002744 0.000718046761083255 0.31928667278328
ENSG00000102882.12 336.44172861512 0.996926887367117 0.29642819609627 3.36313110728289 0.000770637549438779 0.322773234210742
ENSG00000169840.5 3.5323297598151 -5.0200229177673 1.49067048218966 -3.36762750570692 0.000758179581508952 0.322773234210742
ENSG00000176728.10 11.8455085474482 3.55173984576763 1.05756991537475 3.35839720299632 0.000783958739143618 0.322773234210742
ENSG00000187688.15 14.4332394783642 2.19352222167424 0.65148024491109 3.36698194428535 0.000759956638518617 0.322773234210742
ENSG00000197635.11 12.8067594723909 -2.80280070303502 0.838264722322013 -3.34357468279376 0.000827064292212083 0.334329461977295
ENSG00000067048.17 26.39583431328 6.81059361207855 2.06598195442621 3.29654070670238 0.000978834287248095 0.34936559646786
ENSG00000090889.12 5.88065732415368 -2.55571919875528 0.776908277012595 -3.2896022276692 0.00100329104137823 0.34936559646786
ENSG00000114648.12 40.4623487243467 -1.55408317038961 0.473147318955381 -3.28456509871119 0.00102139899115778 0.34936559646786
ENSG00000128606.13 14.1052803486664 -2.89635261017706 0.878487754318901 -3.2969755081249 0.000977320232761901 0.34936559646786
ENSG00000148204.12 116.66694434602 1.19969893612739 0.361384896904581 3.31972627080802 0.000901057509798584 0.34936559646786
ENSG00000153179.14 52.0710186662297 1.2715119607582 0.385242951183887 3.30054568643171 0.000964970011537482 0.34936559646786
ENSG00000177084.19 38.2750508703844 -1.34930850576059 0.410285821388887 -3.288703716821 0.00100649915824796 0.34936559646786
ENSG00000185811.21 36.9325750090196 1.54189565073362 0.46644838761126 3.30560827668385 0.000947704792864759 0.34936559646786
ENSG00000187391.23 194.738710932793 -1.11790916806854 0.339299673164618 -3.29475462691108 0.000985076543043145 0.34936559646786
ENSG00000211896.7 73.4471412559902 5.65967627818216 1.71916404634019 3.2921094936988 0.000994388887275857 0.34936559646786
ENSG00000104219.13 74.3966629433381 1.81320403542626 0.553263751655783 3.27728688170838 0.00104809819420619 0.353066168966456
ENSG00000126787.13 4.96278678309994 -3.6042379034652 1.10546015055776 -3.26039604561656 0.00111256742260586 0.36918972398203
ENSG00000188517.17 6.21879611536024 -2.89760067863165 0.890059901483239 -3.25551198723024 0.00113188118281967 0.370075210847495
ENSG00000112799.9 18.112713544796 2.23671702222861 0.690600360435358 3.23880083239251 0.00120033361284903 0.370653016867674
ENSG00000146648.21 1289.86127456162 -3.91287866189408 1.20398384928439 -3.24994281627595 0.00115428216339468 0.370653016867674
ENSG00000227028.6 5.20711626444272 -4.44496275787131 1.3711195379025 -3.24184918600977 0.00118756849645188 0.370653016867674
ENSG00000234545.8 49.0078305503488 -1.58977513911485 0.489647150795378 -3.24677706493836 0.0011671977801454 0.370653016867674
ENSG00000171320.15 9.88663618324639 -2.81036128013865 0.869577329663243 -3.23187045507156 0.00122982796428553 0.374558426437811
ENSG00000163395.17 10.5512078002973 -3.09613348875951 0.960843520557661 -3.22230771454082 0.00127162486401964 0.375846025663138
ENSG00000182919.15 60.1493694609209 -2.10545985378277 0.653999484695586 -3.21936011121292 0.00128477029417526 0.375846025663138
ENSG00000234432.4 5.74787078626441 -2.0644847830803 0.640527183775687 -3.22310252456559 0.00126810156464071 0.375846025663138
ENSG00000138821.14 48.5007617414222 2.25320066976673 0.701597658840177 3.21152820477129 0.00132031009390758 0.376339157921119
ENSG00000146950.13 40.635000135133 -2.28442409149142 0.71113844146447 -3.21234791749836 0.00131654832312276 0.376339157921119
ENSG00000122735.16 6.2156085425752 4.77470106589718 1.49343869617965 3.19711888952074 0.00138807702222963 0.376805361064639
ENSG00000154258.17 16.4205843189494 2.55379611881427 0.799741822498597 3.19327568844101 0.00140668578097266 0.376805361064639
ENSG00000242125.3 25.4718102075329 -2.18587443451522 0.684372559641312 -3.19398316563257 0.00140324299929617 0.376805361064639
ENSG00000272686.1 8.15090634703026 -2.35012802519725 0.733895092657562 -3.2022669843547 0.00136350561661481 0.376805361064639
ENSG00000285940.4 3.80954487835049 -5.00832938599828 1.5677637191306 -3.19456900608443 0.00140039801824067 0.376805361064639
ENSG00000130827.6 257.746088693983 -1.71973753085827 0.539360584029003 -3.18847461564932 0.00143025567021656 0.378558027570532
ENSG00000196329.12 22.5991699206213 2.15881529231874 0.678167895350999 3.18330505928979 0.00145604121256802 0.380848991517939
ENSG00000165804.16 60.6604098796441 -0.930722285078854 0.294745928911606 -3.15771039998987 0.00159013441013625 0.411086724890223
ENSG00000164638.11 77.7202544713721 -1.66667597111043 0.529327442733899 -3.14866722666464 0.00164016850626814 0.419147889653559
