DF3VP_tumor_gDNA_2	DF4LAK_tumor_gDNA_2	DF5DS_tumor_gDNA_2	DF6SR_tumor_gDNA_	SK8DF_tumor_gDNA_	DF12GD_tumor_gDNA_2	DF19AE_tumor_gDNA_	MA23KB_tumor_gDNA_	UT25LM_tumor_gDNA_2	TX27DC_tumor_gDNA_2	LA33CA_tumor_gDNA_	DF2CAB_tumor_gDNA_2	DF10DL_tumor_gDNA_	DF11RCC_tumor_gDNA_	SK14JR_tumor_gDNA_	SF17LSM_tumor_gDNA_2	SF20LCK_tumor_gDNA_	SK21LS_tumor_gDNA_	DF22LM_tumor_gDNA_2	SF24RG_tumor_gDNA_	MA31PPD_tumor_gDNA_	SK30DC_tumor_gDNA_	UT34SJ_tumor_gDNA_
ENSG00000138376	5.09229843816111	51.6065563036728	21.3569645839304	9.67687707379494	2.33372906057119	4.39441280055299	16.451895028571	29.6753377578471	9.51311632430266	0	34.6721222305101	398.258545190075	42.0924075410942	37.6113915901233	5.4750804809695	6.52512506073469	22.0945072080906	35.7791284221583	231.832017191526	67.5467962921936	6.19130676082268	27.1037556709743	50.7672469487871
ENSG00000163071	6.97539312389093	0.469973011739829	38.1150676472118	2.79967720302765	9.93229532850298	53.950886676746	7.72336148443035	10.3821827980677	10.5476362470274	0	0	0.831663708466366	0.857420871810994	25.5280312414049	1.30815565912291	6.57875366652619	1.02093955421813	31.413183946584	3.95035575997199	4.1753246305539	1.22721481166463	0.991663903538565	0
ENSG00000174371	0.397511084908612	16.3703575919729	0.792748722446727	0	1.07029932891254	4.81975555245832	1.01444525097477	11.8815161988401	0.788308757708132	0	5.26791205854937	4.70118707869137	16.3614089281207	14.3630213078154	3.91924615986136	5.69592064017942	13.5089202198437	4.02376186962061	3.66721517941835	19.5278255929266	3.85222003874796	28.211307074248	4.60222308123362
ENSG00000183020	173.31233092247	104.108512876951	173.158715285733	159.33449325846	168.070202394881	149.204572843418	167.886334514433	212.716136244648	284.25179000552	101.309807061902	398.389311158944	297.079426630893	151.236570951679	190.747812954555	795.863917320213	396.179924425682	328.153272544186	249.984051435714	277.185488910215	264.666922112334	165.483101634298	379.092896697212	307.054887914389
ENSG00000165949	77.0263650861556	11.6854308044635	230.087371781949	83.7605246404817	49.0711992912108	203.662268901288	81.8572286177389	17.8305559193301	51.6440816585618	36.2164743594474	10.0071811135757	22.3076325153668	19.3112936897653	47.7934771721577	16.26089668777	30.807055563402	23.4262048345706	26.1667311149516	33.124863635378	24.9115425054693	158.903132158956	36.4719809081505	57.8901013418553
ENSG00000133321	225.710455820663	37.5998151995819	231.932536325721	121.305756132149	85.8229191343762	160.926362143764	214.78911194105	30.7842785666016	65.0444914701936	82.4546284738242	25.4953003726954	45.1562181879172	22.1992580822178	81.0358259171087	21.2480333535524	18.9763368297272	59.0261850580906	21.9572453524661	88.3926674793519	46.0071871596934	63.0224667587706	56.0100985020984	256.70201744478
ENSG00000135048	52.8957039350027	128.245270152455	222.715342857349	196.246536095855	50.2523975653518	110.746538662543	53.832804342285	180.79911533761	49.5838889076602	69.6789766490767	10.9957317612296	21.8210667833888	68.3019656934988	235.566283586592	14.3013294266843	55.4139470944184	38.8917796961073	72.9783899051094	64.8748850957395	47.2551241039599	93.455093636937	21.8427560782179	87.6384157171462
ENSG00000183798	2.35441812749403	28.9417958414535	0	0	1.74979054585003	7.87070629477514	2.48771534488623	16.8954026907141	6.44387590549066	11.746800000495	102.001665446263	74.3842265372851	29.4742443388294	4.70205029307526	10.5493421902697	6.02874491218359	32.1841286749077	13.8812122375696	39.8210014177412	8.41775364728139	23.3919919914607	8.72406759008906	0
ENSG00000226950	16.2846793608452	24.650148495334	10.30696598456	16.0873459968291	23.8226474001129	27.0898803365316	46.5488255305902	36.9693272834453	18.2123534370466	6.81611807387541	18.739007919672	84.1060544139749	29.5581014813547	14.0361955284114	160.966420472809	17.45506825365	103.265880582298	13.9159033242538	28.7389333718267	142.744237896199	208.131501903226	21.3678959428018	30.7992955953589
ENSG00000148175	303.740122487552	73.343667363336	261.887440562556	230.982627179796	183.853014605847	302.335914135938	160.046402905262	172.432878469121	290.262527187887	65.8040176742543	46.2471528391193	99.0494012241842	54.3672526889078	263.088470161092	100.284151131853	163.773301547883	82.4587777240777	210.960024664871	163.376294239322	84.9752686538783	62.9994426623398	95.0270826725841	175.538867579084
